|positive|,|Saya juga mau vouchee @gojekindonesia https://twitter.com/FOODFESS2/status/1168007370867232769 …|
|positive|,|download gojek duluuu uwuwu|
|positive|,|Aminnn...#orderan goride mhn di lancar kan.all driver"kecuali yg pakai mod tuyul|
|positive|,|Tq @gojekindonesia @golifeindonesia. Harusnya si bapak ini ⭐ 5.0. Khusus daerah Bandung, kalau mau therapist bisa hubungin ke nomor yang ada di kartu. pic.twitter.com/5JMNmnmnHQ|
|positive|,|Semoga Twitter panjang umur. Berkomunikasi dengan penyedia jasa di Indonesia, never been this easy. I just mentioned once, langsung ditanggapi. @HaloBCA and @gojekindonesia @danawallet @BNICustomerCare fast response di Twitter. long live Twitter!|
|positive|,|Semoga di tahun yang baru ini, kita senantiasa ditunjukkan jalan yang lurus, jalan yang terbaik & jalan yang menuntun kita semua ke pintu surga. Selamat Tahun Baru Islam #IslamicNewYear #TahunBaruIslam #Muharram|positive|44|positive| #PastiAdaJalan pic.twitter.com/QpAbdmYZim|
|positive|,|Sejauh ini menurut saya UI paling nyaman dari app asli Indonesia itu punyanya @gojekindonesia|
|positive|,|Thank you @gojekindonesia pic.twitter.com/pbZBG8lkF7|
|positive|,|Hai, ada yang bisa kami bantu mengenai layanan Gojek? Terima kasih ^yun|
|positive|,|Gw mah dr dulu ogah make @grab mending @gojekindonesia karya anak bangsa.. Padahal bagusan @Uber 😁😁😁 https://twitter.com/kurawa/status/1166564515829493760 …|
|negative|,|Iyaa min akur dong :((( biar saldoku tida terpisah bagaikan adam dan hawa waktu itu :””|
|negative|,|hayu tolong dibantuin! @gojekindonesia @gojek24jam @infodepok_id @CCICPolri  untung mba nya nyalain data hp, jd bisa di lacak:') https://twitter.com/yuniarayutyas/status/1167387194496962560 …|
|negative|,|sengaja banget nih orang... sumpah nyeaeeek banget gue.... salah gak salah driver ttp nanggung deritanya  @gojekindonesia  pic.twitter.com/T9mmC1AlBD|
|negative|,|SOS baru pertama kali naik gojek terus ditilang terus aing nungguin motor abang gojeknya ini cemana sich???? @gojekindonesia HELP|
|negative|,|Woy gojek gimana kalo daripada lu nambah2in fitur horor gajelas mending lu benerin dah sistem lu milih driver buat gofood, gw kelaperan, driver yg nge pick makanan jauh nyaaa minta ampun bisa ga sih dipilihin yg lebih deket gitu??|
|negative|,|Emg gitu skrg abang ojol pd mageran gasihh. Apalagi kali tujuan agak jauh pd gamau ngambil😢|
|negative|,|mungkin emang lagi sepi driver yang online? And I do think grab lebih bagus algorithm buat pairing driver-customer nya|
|negative|,|@gojekindonesia kalo ada customer komplain itu beneran di follow up ga sih? Atau apapun masalahnya cuma nyuruh restart GPS?|
|negative|,|@gojekindonesia @PontaID mau tanya Min seinget saya kmrn saya tukar go point - > point ponta kok d my voucher g muncul y? trs point pontanya jg blm masuk?|
|negative|,|Gini2 aja ya Allah @gojekindonesia  pic.twitter.com/9YUzazOlOL|
